age,ast_pct,blk_pct,bpm,drb_pct,fg3a_per_fga_pct,g,mp,orb_pct,playerID,playerName,pos,stl_pct,teamid,tov_pct,trb_pct,ts_pct,usg_pct,vorp,year
21,7.7,0.6,-2.1,16.5,.302,77,1931,4.4,casspom01,"Casspi,Omri",SF,1.4,SAC,11.6,10.4,.529,19.4,-0.1,2010
23,21.0,0.5,-0.4,7.1,.520,73,1807,1.6,chalmma01,"Chalmers,Mario",PG,2.7,MIA,19.7,4.4,.519,16.3,0.7,2010
27,2.2,3.9,-1.6,21.0,.000,51,1163,12.0,chandty01,"Chandler,Tyson",C,0.8,CHA,26.0,16.6,.643,14.0,0.1,2010
22,9.8,1.6,-1.8,12.7,.174,65,2320,4.5,chandwi01,"Chandler,Wilson",SG,1.0,NYK,10.4,8.5,.534,20.2,0.1,2010
22,7.8,2.4,-6.9,12.3,.033,51,383,5.6,clarkea01,"Clark,Earl",PF,0.9,PHO,12.1,9.1,.420,21.9,-0.5,2010
31,2.9,0.8,-4.2,16.4,.000,34,261,10.1,collija03,"Collins,Jarron",C,0.4,PHO,19.2,13.4,.405,8.8,-0.1,2010
31,4.8,1.3,-6.7,9.2,.043,24,115,5.0,collija04,"Collins,Jason",C,1.4,ATL,17.3,7.1,.335,11.6,-0.1,2010
25,14.1,0.2,-6.2,9.2,.133,43,470,3.2,collima01,"Collins,Mardy",SG,2.5,LAC,18.9,6.2,.404,16.3,-0.5,2010
22,32.9,0.1,-1.7,8.6,.146,76,2109,2.2,collida01,"Collison,Darren",PG,1.9,NOH,18.9,5.3,.546,23.1,0.2,2010
29,3.7,2.3,0.6,16.7,.013,75,1557,11.5,collini01,"Collison,Nick",C,1.2,OKC,15.0,14.2,.616,12.1,1.0,2010
22,24.8,0.4,-0.7,7.3,.255,80,2569,1.4,conlemi01,"Conley,Mike",PG,2.2,MEM,15.7,4.3,.526,18.4,0.8,2010
27,28.0,0.0,-14.0,9.9,.300,5,36,0.0,conrowi01,"Conroy,Will",PG,0.0,HOU,26.9,4.8,.276,18.3,-0.1,2010
29,3.7,3.3,-15.8,21.6,.391,15,44,2.5,cookbr01,"Cook,Brian",PF,0.0,HOU,18.7,11.7,.403,32.2,-0.2,2010
22,9.8,1.2,-4.5,12.3,.498,45,691,1.5,cookda02,"Cook,Daequan",SG,1.1,MIA,8.3,7.0,.422,19.6,-0.4,2010
29,16.1,0.4,0.8,8.0,.386,79,2460,1.6,crawfja01,"Crawford,Jamal",SG,1.3,ATL,9.9,4.8,.573,25.8,1.8,2010
22,3.3,2.5,-1.9,18.7,.009,63,707,9.4,cunnida01,"Cunningham,Dante",PF,1.9,POR,6.0,14.0,.517,16.8,0.0,2010
27,0.0,1.2,-23.0,16.8,.000,7,62,7.2,curryed01,"Curry,Eddy",C,0.0,NYK,31.3,11.9,.456,30.2,-0.3,2010
24,,,-6.9,,,1,0,,curryja01,"Curry,JamesOn",PG,,LAC,,,,,0.0,2010
